#MAIN_ID RA DEC RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE SP_TYPE SP_QUAL SP_BIBCODE OTYPE Distance_distance Distance_Q Distance_unit Distance_merr Distance_perr Distance_method Distance_bibcode RVZ_TYPE RVZ_RADVEL RVZ_ERROR RVZ_QUAL RVZ_WAVELENGTH RVZ_BIBCODE OTYPES RA_d DEC_d BIBLIST_1990_2020
"b'[CCG2002] 26'" "14 04 29.39" "+54 23 51.8" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12246000 54.39772000 1
"b'[CCG2002] 27'" "14 04 29.44" "+54 23 53.1" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12267000 54.39808000 1
"b'[CCJ2005] NGC 5471  9'" "14 04 29.27" "+54 23 51.2" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12196000 54.39756000 1
"b'[CCG2002] Shell 2'" "14 04 29.20" "+54 23 54.7" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'SNR' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'SNR' 211.12167000 54.39853000 2
"b'[CCG2002] 10'" "14 04 29.10" "+54 23 54.3" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12125000 54.39842000 1
"b'[CCG2002] 13'" "14 04 29.12" "+54 23 51.4" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12133000 54.39761000 1
"b'[CCG2002]  7'" "14 04 29.07" "+54 23 51.8" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12112000 54.39772000 1
"b'[CCG2002]  3'" "14 04 29.02" "+54 23 53.6" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12092000 54.39822000 1
"b'[CCG2002]  2'" "14 04 29.0" "+54 23 53" 5 5 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12080000 54.39810000 1
"b'[CCG2002] 11'" "14 04 29.10" "+54 23 54.8" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12125000 54.39856000 1
