# Tile    Id      RA_1       DEC_1     MAIN_ID                          RA_2          DEC_2         RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE            SP_TYPE      SP_QUAL SP_BIBCODE             OTYPE        Distance_distance Distance_Q Distance_unit Distance_merr Distance_perr Distance_method Distance_bibcode    RVZ_TYPE RVZ_RADVEL RVZ_ERROR RVZ_QUAL RVZ_WAVELENGTH RVZ_BIBCODE            OTYPES                             RA_d         DEC_d       BIBLIST_1990_2020 Separation         
  68634.0 16824.0 210.58504  54.36012  ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 16909.0 210.635155 54.426282 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 17965.0 210.545088 54.308505 "b\'[SAB2000] 140024.30+543253.9\'" "14 02 10.86" "+54 18 28.8" 6       6        ""           ""           0             D        ""             "b\'2000ApJ...538..608S\'" "b\'\'"      ""      "b\'\'"                "b\'UV\'"    ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'UV\'"                          210.54525    54.308      1                 1.849566466692347  
  68634.0 18120.0 211.133648 54.423812 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 18526.0 210.695002 54.419244 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 18964.0 210.921614 54.406273 "b\'[SAB2000] 140155.40+543844.7\'" "14 03 41.25" "+54 24 22.9" 6       6        ""           ""           0             D        ""             "b\'2000ApJ...538..608S\'" "b\'\'"      ""      "b\'\'"                "b\'UV\'"    ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'UV\'"                          210.92187    54.40636    1                 0.6211451150291171 
  68634.0 22101.0 210.584949 54.387264 "b\'[SAB2000] 140034.08+543738.2\'" "14 02 20.44" "+54 23 13.4" 6       6        ""           ""           0             D        ""             "b\'2000ApJ...538..608S\'" "b\'\'"      ""      "b\'\'"                "b\'UV\'"    ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'UV\'"                          210.58517    54.38706    1                 0.8683165008254101 
  68634.0 23787.0 210.805323 54.594651 "b\'NAME Goss I\'"               "14 03 13.2"  "+54 35 42"   5       5        ""           ""           0             D        ""             "b\'\'"                "b\'\'"      ""      "b\'\'"                "b\'HII\'"   ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'HII|UV\'"                      210.805      54.595      0                 1.4256147006171358 
  67346.0 16270.0 236.628604 46.002137 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  63308.0 6151.0  147.58716  31.486394 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  70145.0 19210.0 280.424544 65.199499 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  63391.0 14288.0 190.986268 32.170386 "b\'2MASS J12435666+3210138\'"   "12 43 56.663" "+32 10 13.81" 7       7        140.0        130.0        84            C        N              "b\'2003yCat.2246....0C\'" "b\'\'"      ""      "b\'\'"                "b\'AGN\'"   ""                ""         ""            ""            ""            ""              ""                  z        0.002      0.0       C        O              "b\'2011yCat.2306....0A\'" "b\'PoG|PoG|AGN|AGN|IR\'"          190.986095   32.170502   3                 0.6725390371042689 
  64626.0 37444.0 268.371706 37.929444 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
